longitude,latitude
8.6858462,50.1140521
55.3165152,25.2713565
55.456259,25.3120234
55.306795,25.2683524
55.2707828,25.2048493
55.2447739,25.1738487
55.4194753,25.2196159
8.4068434,49.4908905
55.35367,25.279983
55.3651644,25.288115
53.7045554,23.6493986
-3.517567,55.882839
-78.4409869,38.5296269
5.2441793,52.0946415
55.505403,25.4006966
55.3481944,25.2776931
55.624556,25.3040598
53.727433,23.6594904
55.3121917,25.2766778
-106.6461912,35.1143431
55.3063194,25.271539
55.3260485,25.2597682
55.3326389,25.2617778
55.3194806,25.2682837
138.5648368,35.3994331
55.3757654,25.2333554
55.3319501,25.2632539
55.2900562,25.2681851
55.4891222,25.29602
55.4373292,25.2334629
-78.4534573,38.4754706
-3.0645281,55.6185997
55.365513,25.2919567
55.4261318,25.2946091
55.4240218,25.1741339
8.5992274,50.1258224
55.4464796,25.1677694
53.7306928,23.6528818
55.3390025,25.2829745
-104.9508519,39.7495961
55.3721826,25.3342231
-86.1137701,30.7205675
8.6754871,50.1159506
5.1072295,52.0902951
55.306561,25.2729027
55.3858149,25.2815029
55.3462775,25.2782343
55.3983024,25.3720483
54.381611,24.492296
55.2725212,25.1929153
-2.784885,55.424064
55.3149742,25.2605385
55.3676311,25.3020231
55.3272519,25.2747169
55.5094599,25.3680776
55.3076956,25.2473019
-117.220646,38.0623196
4.745725,52.6319552
55.3350958,25.2606146
55.322264,25.2625641
-85.1542656,41.2243599
5.2779221,52.1657376
8.668538999999999,50.1076214
54.512645,24.3756114
55.3442289,25.2796737
8.6778431,50.0981217
8.688141,50.10599
5.013385899999999,52.0843331
55.3768389,25.2675629
-46.5692685,-23.6234032
-119.1231798,46.2422021
55.373271,25.3071567
4.722599799999999,52.2899838
55.3929645,25.3475927
55.3939228,25.3247375
55.3953,25.3397096
-79.9087754,37.2863568
-77.601629,43.1525482
55.4786321,25.3455803
55.3329138,25.2517454
55.4904375,25.2967432
55.267023,25.2282048
55.3092169,25.2512731
5.9223518,52.9593176
55.3853511,25.3598607
55.318614,25.261624
4.4924263,52.0606047
55.2640927,25.2042799
55.3701871,25.2935829
55.3089138,25.2471513
4.8772216,52.3597739
5.1920687,52.2262817
8.672139999999999,50.11254
-91.5407446,41.647599
-3.1893367,55.6519744
4.653973199999999,52.4812428
8.682184,50.1108448
55.2946333,25.2561367
55.3607566,25.2860267
-90.1990425,38.626704
-3.197112,55.9590029
55.3149107,25.2704023
55.1907189,25.0894669
55.1606905,25.1016792
55.147089,25.1070933
55.378217,25.359864
55.304748,25.2477339
8.671544599999999,50.1138992
5.242606599999999,52.0935917
-111.1675621,32.242686299999995
-3.4975151,55.89717
-70.94059829999999,42.5241101
5.1724233,52.2253375
55.276526,25.2303091
-3.2478539,55.9670739
55.3191027,25.2613663
55.3755985,25.3036972
55.4024021,25.3213373
55.4772194,25.3419483
55.4152108,25.3183688
55.3980603,25.3456716
53.7139731,23.6269423
8.6333261,50.0791609
8.697932999999999,50.1043545
-79.2793928,43.8690764
55.3331947,25.2576061
55.3664016,25.2738824
55.3667244,25.2985836
55.3030474,25.2606848
55.3475452,25.243883
-81.5387463,39.2651037
53.7322342,23.6613033
-116.3035994,43.608358
55.3878609,25.3592563
55.2391097,25.1995852
8.6656348,50.1079989
55.3153125,25.2170625
55.3766255,25.3026692
5.377822999999999,52.1589509
55.3269599,25.2706957
-3.1891467,55.6529061
-91.6928033,35.2491969
-122.0636053,48.0146531
55.4989845,25.3816468
8.693057999999999,50.114213
-0.2625966,51.5646254
55.3783522,25.3021819
-92.5807657,34.5804765
53.6257385,23.6483649
55.2683662,25.2067833
55.3606704,25.2974744
55.377008,25.3095704
-90.4976106,30.4762844
55.59582,25.3716247
-4.251707,55.865387
176.23031,-38.1219594
55.3819486,25.354471
55.3889898,25.2850768
55.3584286,25.2866459
55.306855,25.2709852
55.3748773,25.3122901
55.3123905,25.2777936
55.3166667,25.2666667
55.3092522,25.2752852
8.617381199999999,50.1613363
-76.4267516,40.320941
55.2964646,25.2699203
55.4613119,25.3483499
55.5120951,25.3983757
8.686257,50.10569
8.6996788,50.098966
55.3652233,25.2878973
55.2999215,25.2737112
5.253965,52.302389
55.3049314,25.2695586
55.3400864,25.2438571
55.2774045,25.2314811
8.700510999999999,50.0500068
55.322229,25.2603801
55.4010185,25.3193261
55.3857335,25.3414961
55.295503,25.2618487
5.6339708,52.1653075
-100.0509435,51.1503228
55.3430076,25.252515
5.2213106,52.0807588
5.241392299999999,52.0856231
55.2887775,25.2629497
76.3378106,9.4757986
55.369166,25.308989
8.6610339,50.1110807
55.4255104,25.2065774
35.177338,31.74622
55.291377,25.2592635
-4.219569,55.761436
53.704304,23.6159423
55.329088,25.264892
-3.1633839,54.1682664
-93.3546681,45.1943942
-105.5128782,39.9411826
8.675264199999999,50.1124352
55.3318499,25.2588672
55.5084408,25.406731
55.5126718,25.4414794
55.2976474,25.2626508
55.4136245,25.1749853
55.612419,25.3077451
55.2956717,25.2589707
55.4065945,25.1804932
55.3138957,25.2436258
55.3126522,25.271631
55.2999771,25.2737039
55.3840374,25.3199789
53.7033803,23.6568306
9.5450374,49.7644671
4.9124273,52.3913215
55.5997552,25.3772998
55.3174783,25.2676871
55.2763082,25.1992441
8.6739069,50.1155865
55.6215988,25.3266079
53.7039089,23.6502395
55.3785682,25.3267348
-105.9899561,38.5361527
5.0849645,52.1045986
55.3218684,25.2652259
5.42691,52.12914
55.3597523,25.2235107
55.4562338,25.2928158
55.2052077,25.1573429
5.083838999999999,52.0292486
55.2283609,25.1684277
55.2465874,25.1975274
50.609735,26.154722
-70.6414533,42.6229107
-4.293374399999999,55.8061054
-3.1154933,55.9537288
55.2707828,25.2048493
55.3827689,25.3541316
-4.2591706,55.8596498
55.2970309,25.2711955
55.3148446,25.2678061
-3.452037,56.064201
55.3046968,25.2697077
53.7045263,23.6594861
55.365513,25.2919567
55.3660288,25.2970726
55.218397,25.1388538
-80.4111471,37.2269021
55.4061233,25.1932679
-82.5727016,37.5224713
55.4494234,25.3084433
55.3315114,25.2512176
-98.4139085,35.8446955
55.4326653,25.393262
55.1641819,25.1039516
55.2174878,25.1713571
55.2970643,25.2419077
55.3758644,25.3002575
55.436991,25.3992688
55.3891565,25.3064339
55.3113875,25.2737039
55.4071265,25.2692757
8.6812233,50.1120667
4.6183842,52.4010359
55.4592024,25.3856872
55.3182372,25.2339847
5.2818691,52.1690871
6.563171,52.623193
-88.5661672,47.1219488
8.6749606,50.1151287
145.0018753,-37.7388404
55.3942928,25.32582
5.2464176,52.0836095
-88.2037448,41.8832336
55.3341689,25.2530546
55.3616668,25.2786034
55.3022486,25.2573258
55.3841948,25.2784833
55.307485,25.271139
5.5874202,52.1400629
53.7272527,23.6598387
8.6819931,50.1176976
-4.3994176,55.9073539
55.3098758,25.2755304
-95.3375928,29.658828
55.3930521,25.3218257
55.248929,25.0657135
-88.02960619999999,41.7280737
8.649645999999999,50.1148407
55.3134025,25.2726471
-96.6046713,30.8786335
55.5045042,25.4605561
55.6335868,25.3432512
5.1793231,52.3909549
4.6876383,52.7916194
55.3084959,25.2512299
5.2355646,52.0935195
53.7086264,23.6197685
55.3251556,25.2696819
55.4009283,25.3772446
55.378557,25.344884
55.2036356,25.1449609
55.2628379,25.2085979
55.3674107,25.3022445
55.3705507,25.3072033
-3.6101954,55.0671565
-83.88738649999999,43.5982707
55.4023791,25.1246536
55.2858686,25.2286104
55.3895323,25.3076213
55.3079167,25.2689145
55.4771656,25.3439483
55.32123,25.2306484
55.387241,25.288444
55.3980221,25.2816193
55.3221169,25.2706728
8.668273,50.1073187
55.4176453,25.3359104
8.7295467,50.1171442
-84.0502073,43.8542715
55.4207699,25.2373469
55.3787764,25.268532
113.5499496,22.1928081
8.6783804,50.11843
55.3224126,25.2290314
-85.9479827,32.9315528
55.2874461,25.2590639
55.324131,25.263609
55.312404,25.2740527
55.2722176,25.2411224
5.142792399999999,52.341311
55.2876697,25.2498336
55.5174225,25.3838964
55.2759641,25.2266113
55.4307378,25.3414308
-4.0272356,55.8615379
55.3685332,25.3012869
-3.2280137,55.9076069
4.955988,52.3406245
5.906174,51.9818517
8.6789639,50.1101822
-77.0081764,38.8982326
-72.2013822,41.7347647
-87.73643709999999,41.9679108
55.4384791,25.4029987
27.5508053,53.8968873
-88.0808777,42.0268959
5.9594602,52.2003147
11.5538889,48.0969444
55.2651949,25.2019385
-71.958361,42.256654
-4.0907677,55.7916633
55.3693265,25.2905126
8.6819708,50.1176169
-82.7076065,34.5688601
8.6813015,50.1118144
55.2813192,25.2221569
-73.6494694,40.7858379
-1.89075,53.873767
8.6742818,50.1141747
-83.390332,42.283015
5.0817372,52.0276452
55.456892,25.2964784
